Author,Genres
Geraldine Brooks,Historical novel
Lew Wallace,Historical novel
Joan Blos,Historical novel
Sandilyan,Historical novel
Donna Gillespie,Historical novel
Bernard Cornwell,Historical novel
Frank Yerby,Historical novel
Frances Temple,Historical novel
Marion Zimmer Bradley (completed by Diana L. Paxson),Historical novel
José Saramago,Historical novel
Baroness Orczy,Historical novel
Moyra Caldecott,Historical novel
Caroline Lawrence,Historical novel
Walter D. Edmonds,Historical novel
Elizabeth Peters,Historical novel
Jaan Kross,Historical novel
Elizabeth George Speare,Historical novel
Patrick O'Brian,Historical novel
Simon Scarrow,Historical novel
C. S. Forester,Historical novel
Marguerite Yourcenar,Historical novel
Nathaniel Hawthorne,Historical novel
George MacDonald Fraser,Historical novel
David Liss,Historical novel
Charles Nordhoff and James Norman Hall,Historical novel
Robert Westall,Historical novel
Louis A. Meyer,Historical novel
Sandilyan,Historical novel
Bernard Cornwell,Historical novel
James Fenimore Cooper,Historical novel
H. N. Turteltaub,Historical novel
Georgette Heyer,Historical novel
Eva Ibbotson,Historical novel
Siobhan Dowd,Historical novel
Rosemary Sutcliff,Historical novel
Caroline Lawrence,Historical novel
L.A. Meyer,Historical novel
G.A. Henty,Historical novel
Marion Zimmer Bradley and Diana L. Paxson,Historical novel
Beryl Bainbridge,Historical novel
Charles Hawes,Historical novel
Moyra Caldecott,Historical novel
Leslie Barringer,Historical novel
Guy Gavriel Kay,Historical novel
Salvador de Madariaga,Historical novel
Michael Chabon,Historical novel
Lucia St. Clair Robson,Historical novel
Rosemary Sutcliff,Historical novel
L. Sprague de Camp,Historical novel
Tahmima Anam,Historical novel
Patrick O'Brian,Historical novel
Simon Scarrow,Historical novel
Saul David,Historical novel
Robert Hugh Benson,Historical novel
Avi (or Edward Irving Wortis),Historical novel
Deborah Noyes,Historical novel
Anchee Min,Historical novel
Bernard Cornwell,Historical novel
Caroline Lawrence,Historical novel
Cynthia Harnett,Historical novel
Sir Walter Scott,Historical novel
Walter Scott,Historical novel
Yasunari Kawabata,Historical novel
Bernard Cornwell,Historical novel
Olive Ann Burns,Historical novel
Anya Seton,Historical novel
Patrick O'Brian,Historical novel
Ngũgĩ wa Thiong'o,Historical novel
Thomas B. Costain,Historical novel
Amin Maalouf,Historical novel
Paul Scott,Historical novel
Bruce Cook (writing as Bruce Alexander),Historical novel
Jennifer Donnelly,Historical novel
L. Sprague de Camp,Historical novel
Harold Keith,Historical novel
C. S. Forester,Historical novel
Anya Seton,Historical novel
Baroness Orczy,Historical novel
Lucia St. Clair Robson,Historical novel
Marcus Sedgwick,Historical novel
C. S. Forester,Historical novel
Patrick O'Brian,Historical novel
Diana Gabaldon,Historical novel
Caroline Lawrence,Historical novel
Charles W. Chesnutt,Historical novel
Anthony Burgess,Historical novel
Jean Plaidy,Historical novel
Ann Radcliffe,Historical novel
Bernard Cornwell,Historical novel
Dudley Pope,Historical novel
Kathryn Stockett,Historical novel
L. Sprague de Camp,Historical novel
Bernard Cornwell,Historical novel
Julian Barnes,Historical novel
Gary Paulsen,Historical novel
Elizabeth Peters,Historical novel
Baroness Orczy,Historical novel
Patrick O'Brian,Historical novel
"Daphne du Maurier, Arthur Quiller-Couch",Historical novel
Irene Hunt,Historical novel
Caroline Lawrence,Historical novel
Mildred D. Taylor,Historical novel
Ken Follett,Historical novel
Caroline Lawrence,Historical novel
C. S. Forester,Historical novel
George MacDonald Fraser,Historical novel
Howard Fast,Historical novel
Nalo Hopkinson,Historical novel
Bernard Cornwell,Historical novel
Lucia St. Clair Robson,Historical novel
Edgar Rice Burroughs,Historical novel
Bruce Alexander,Historical novel
Alexandre Dumasin collaboration with Auguste Maquet,Historical novel
Conn Iggulden,Historical novel
George MacDonald Fraser,Historical novel
Alexandre Dumas,Historical novel
Walter Scott,Historical novel
Caryl Phillips,Historical novel
Persia Woolley,Historical novel
Bernard Cornwell,Historical novel
Bernard Cornwell,Historical novel
George MacDonald Fraser,Historical novel
Patrick O'Brian,Historical novel
Sharon Kay Penman,Historical novel
Rosemary Sutcliff,Historical novel
Elizabeth Peters,Historical novel
Elizabeth Peters,Historical novel
Caroline Lawrence,Historical novel
Mollie Hunter,Historical novel
Rosalind Miles,Historical novel
Valerio Massimo Manfredi,Historical novel
Diana Gabaldon,Historical novel
Mary Renault,Historical novel
Aharon Appelfeld,Historical novel
David Rees,Historical novel
Cynthia Harnett,Historical novel
James Michener,Historical novel
Steven Pressfield,Historical novel
Kazuo Ishiguro,Historical novel
Jean Thesman,Historical novel
Caroline Lawrence,Historical novel
Graham Salisbury,Historical novel
Caleb Carr,Historical novel
Robert Louis Stevenson,Horror
H. G. Wells,Horror
William Hope Hodgson,Horror
Stephen King,Horror
Stephen King,Horror
Terry Brooks,Horror
Stephen King,Horror
Jeff Mariotte,Horror
Elizabeth Massie,Horror
Anne Rice,Horror
William March,Horror
Scott Ciencin and Denise Ciencin,Horror
Darren Shan,Horror
Laurell K. Hamilton,Horror
John Dickson Carr,Horror
Cameron Dokey,Horror
Dan Simmons,Horror
Arthur Machen,Horror
Darren O'Shaughnessy (as Darren Shan),Horror
Christopher Golden,Horror
Carlos Ruiz Zafón,Horror
Stephen King,Horror
Hans Holbein the Younger,Horror
Darren Shan,Horror
Brian Lumley,Horror
Brian Lumley,Horror
Hans Holbein the Younger,Horror
Darren Shan,Horror
H. P. Lovecraft,Horror
Ray Garton,Horror
Richelle Mead,Horror
Laura J. Burns and Melinda Metz,Horror
Gary Brandner,Horror
Stephen King,Horror
Nancy Holder,Horror
T. M. Gray,Horror
Jim Butcher,Horror
Nathaniel Hawthorne,Horror
Gaston Leroux,Horror
Bret Easton Ellis,Horror
Clive Barker,Horror
Robert R. McCammon,Horror
Laurell K. Hamilton,Horror
John Metcalfe,Horror
Brian Lumley,Horror
Dean Koontz,Horror
Gary Brandner,Horror
Stephen R. Donaldson,Horror
Hans Holzer,Horror
Alan Dean Foster,Horror
Christopher Golden & James A. Moore,Horror
Anne Rice,Horror
Dean Koontz (as Leigh Nichols),Horror
Various,Horror
Stephen King,Horror
Kelley Armstrong,Horror
H. P. Lovecraft,Horror
Laurell K. Hamilton,Horror
Mervyn Peake,Horror
Dan Simmons,Horror
Edith Wharton,Horror
Nick Mamatas,Horror
Robin Hardy,Horror
Ann Radcliffe,Horror
David Gemmell,Horror
Avi,Horror
Peter Tremayne,Horror
Matthew Reilly,Horror
Darren Shan,Horror
Laurell K. Hamilton,Horror
Darren O'Shaughnessy,Horror
Stephen King,Horror
R. D. Wingfield,Horror
Dean Koontz,Horror
John G. Jones,Horror
Laurell K. Hamilton,Horror
Justin Somper,Horror
Stephen Gilbert,Horror
Anne Rice,Horror
Stephen King,Horror
Dean Koontz,Horror
Terry Brooks,Horror
Christopher Golden,Horror
Sergei Lukyanenko,Horror
Terry Brooks,Horror
Laurell K. Hamilton,Horror
Amelia Atwater-Rhodes,Horror
John Fowles,Horror
Stephen Graham Jones,Horror
Tim Powers,Horror
Stanley G. Weinbaum,Horror
Kim Newman,Horror
Jeff Lindsay,Horror
Bret Easton Ellis,Horror
Christopher Morley,Horror
Dean Koontz,Horror
Charlie Huston,Horror
Jim Butcher,Horror
R. L. Stine,Horror
Laurell K. Hamilton,Horror
R. L. Stine,Horror
Anne Rice,Horror
Steve Alten,Horror
Peter Straub,Horror
Stephen King,Horror
Jeff Smith,Horror
Anne Rice,Horror
Mark Z. Danielewski,Horror
Mark Gatiss,Horror
Alan Dean Foster,Horror
MaryJanice Davidson,Horror
Thomas E. Sniegoski,Horror
David Wellington,Horror
Christopher Golden & Nancy Holder,Horror
Gary Brandner,Horror
Thomas Love Peacock,Horror
Brian Keene,Horror
Washington Irving,Horror
Ursula K. Le Guin,Horror
Stephen King,Horror
Dan Simmons,Horror
William Hope Hodgson,Horror
Christopher Golden & Nancy Holder,Horror
V. C. Andrews,Horror
Laurell K. Hamilton,Horror
Robin Klein,Horror
Alan Dean Foster,Horror
Nancy Holder,Horror
Robert Bloch,Horror
Stephen King (as Richard Bachman),Horror
Arthur Byron Cover,Horror
Dean Koontz,Horror
David Wong,Horror
Ashley McConnell and Dori Koogler,Horror
David Conyers and John Sunseri,Horror
Neil Gaiman,Horror
Charles L. Grant,Horror
Amelia Atwater-Rhodes,Horror
John Bellairs,Horror
Sergei Lukyanenko,Horror
C. S. Forester,Horror
Neil Gaiman,Horror
Guy Burt,Horror
Anne Rice,Horror
Stephen King,Horror
Christie Golden,Horror
John G. Jones,Horror
Anne Rice,Horror
Anne Rice,Horror
Stephen King,Horror
Alice Henderson,Horror
Justin Somper,Horror
Jules Verne,Horror
Anne Rice,Horror
Stephen King,Horror
Richard Laymon,Horror
Clive Barker,Horror
Laurell K. Hamilton,Horror
Christopher Golden & Nancy Holder,Horror
Les Daniels,Horror
Darren O'Shaughnessy (as Darren Shan),Horror
Dean Koontz,Horror
Paul Fleischman,Horror
Nancy Holder,Horror
MaryJanice Davidson,Horror
John Marks,Horror
Kate Cann,Horror
Diana G. Gallagher,Horror
Garth Nix,Horror
Craig Shaw Gardner,Horror
Stephen King,Horror
Dean Koontz,Horror
Greye La Spina,Horror
Christopher Golden andNancy Holder,Horror
Dean Koontz,Horror
Stephen King,Horror
David Wellington,Horror
Mary Shelley,Horror
Dean Koontz (as Brian Coffey),Horror
Laurell K. Hamilton,Horror
Christopher Moore,Horror
Guy Endore,Horror
Shirley Jackson,Horror
Rick Yancey,Horror
Jeff Mariotte,Horror
Laurell K. Hamilton,Horror
Jonathan Carroll,Horror
Darren Shan,Horror
J. Sheridan Le Fanu,Horror
Richard Laymon,Horror
M. P. Shiel,Horror
Yvonne Navarro,Horror
Dean Koontz,Horror
D.M. Cornish,Horror
Diana G. Gallagher,Horror
Poppy Z. Brite,Horror
Kim Newman,Horror
Darren O'Shaughnessy (as Darren Shan),Horror
Christopher Golden,Horror
Stephen King,Horror
Bram Stoker,Horror
Mary Stewart,Horror
Anne Rice,Horror
Anne Rice,Horror
Ira Levin,Horror
Tim Lucas,Horror
Jules Verne,Horror
Bram Stoker,Horror
David Wellington,Horror
Dean Koontz (as Leigh Nichols),Horror
Arthur Machen,Horror
Max Brooks,Horror
Darren Shan,Horror
Justin Somper,Horror
Stephen King,Horror
Theodore Sturgeon,Horror
Oscar Wilde,Horror
Laurell K. Hamilton,Horror
Kim Newman,Horror
Robert R. McCammon,Horror
Anne Rice,Horror
Anne Rice,Horror
John G. Jones,Horror
Colin Wilson,Horror
Frank Belknap Long,Horror
Charles L. Grant,Horror
Kim Newman,Horror
John Passarella,Horror
Charles L. Grant,Horror
Darren O'Shaughnessy (as Darren Shan),Horror
Stephen King,Horror
Diana G. Gallagher,Horror
Stephen King,Horror
Justin Evans,Horror
Robert Joseph Levy,Horror
Ben Jeapes (books 1-3) Helen Hart (books 4-6),Horror
Laurell K. Hamilton,Horror
Orson Scott Card,Horror
Laurell K. Hamilton,Horror
Basil Copper,Horror
Jeff VanderMeer,Horror
Stephen King,Horror
Jeff Mariotte,Horror
Lincoln Child,Horror
John Saul,Horror
Elizabeth Kostova,Horror
Darren O'Shaughnessy (as Darren Shan),Horror
Pierce Askegren,Horror
Laurell K. Hamilton,Horror
Anthony Horowitz,Horror
Henry James,Horror
David Case,Horror
Christopher Golden,Horror
Richard Christian Matheson,Horror
Robert Silverberg,Horror
George R. R. Martin,Horror
Adam Niswander,Horror
Nalo Hopkinson,Horror
Ira Levin,Horror
David Wellington,Horror
Richard Laymon,Horror
Jeffrey Archer,Thriller
James Patterson and Michael Ledwidge,Thriller
John Grisham,Thriller
Matthew Reilly,Thriller
David Morrell,Thriller
Alex Flinn,Thriller
Robert Muchamore,Thriller
Clive Cussler,Thriller
Lincoln Child,Thriller
Frederick Forsyth,Thriller
Frank Peretti,Thriller
Robert Ludlum(Series creator)Eric Van Lustbader,Thriller
Tom Clancy,Thriller
"Lincoln Child,Douglas Preston",Thriller
Robert Ludlum (series creator)Eric Van Lustbader,Thriller
Lee Child,Thriller
John Buchan,Thriller
James Patterson,Thriller
Mollie Hunter,Thriller
Graham Greene,Thriller
Rex Stout,Thriller
John le Carré,Thriller
Frederick Forsyth,Thriller
Michael Crichton (writing as Jeffery Hudson),Thriller
Robert Ludlum,Thriller
Barbara Michaels,Thriller
James Patterson,Thriller
Lionel Davidson,Thriller
Sam Bourne (Also known as Jonathan Freedland),Thriller
Robert Ludlum,Thriller
Sidney Sheldon,Thriller
Robert Muchamore,Thriller
Robert Ludlum,Thriller
Toby Clements,Thriller
Desmond Bagley,Thriller
Robert Ludlum,Thriller
John Buchan,Thriller
Richard Condon,Thriller
Robert Goddard,Thriller
Lee Child,Thriller
Vince Flynn,Thriller
"Telman Gdlyan, Evgeny Dodolev",Thriller
Emma Clayton,Thriller
Sion Sono,Thriller
"Douglas Preston,Lincoln Child",Thriller
Charles R. Pellegrino and George Zebrowski,Thriller
Graham Greene,Thriller
Robert Ludlum,Thriller
Sidney Sheldon,Thriller
Frederick Forsyth,Thriller
Ken Follett,Thriller
Alistair MacLean,Thriller
Victor Canning,Thriller
Ted Lewis,Thriller
Robert Muchamore,Thriller
Frank Herbert,Thriller
Stuart Woods,Thriller
Helen Fielding,Thriller
Alex Barclay,Thriller
Stephen Hunter,Thriller
Alistair MacLean,Thriller
Robert Ludlum (series creator)Eric Van Lustbader,Thriller
Brian Moore,Thriller
Joy Fielding,Thriller
Anthony Horowitz,Thriller
Nancy Werlin,Thriller
Richard Preston,Thriller
Desmond Bagley,Thriller
Elmore Leonard,Thriller
Marvin H. Albert,Thriller
Elmore Leonard,Thriller
Lionel Davidson,Thriller
James Grady,Thriller
Robert Ludlum (series creator)Eric Van Lustbader,Thriller
Lionel Davidson,Thriller
Alistair MacLean,Thriller
R J Ellory,Thriller
Glen David Gold,Thriller
Michael Scott,Thriller
Nevil Shute,Thriller
Donald Hamilton,Thriller
Lionel Shriver,Thriller
Kalki Krishnamurthy,Thriller
Alfred Bester,Thriller
Jeffrey Archer,Thriller
Donald Hamilton,Thriller
Alistair MacLean,Thriller
Andre Norton,Thriller
Robert Muchamore,Thriller
Alistair MacLean,Thriller
Patricia Highsmith,Thriller
John Grisham,Thriller
James Redfield,Thriller
Frederick Forsyth,Thriller
Desmond Bagley,Thriller
Nevil Shute,Thriller
Lionel Davidson,Thriller
Stephen Hunter,Thriller
Mary Higgins Clark,Thriller
John Buchan,Thriller
Stuart Woods,Thriller
Alistair MacLean,Thriller
Tim Krabbé,Thriller
Anthony Horowitz,Thriller
Robert Muchamore,Thriller
"Dean Koontz, Queenie Chan",Thriller
Ken Follett,Thriller
Stephen Fry,Thriller
Tom Clancy,Thriller
Amitav Ghosh,Thriller
Dan Brown,Thriller
Tom Clancy,Thriller
"Douglas Preston,Lincoln Child",Thriller
Michael Scott,Thriller
William Hjortsberg,Thriller
Dean Koontz,Thriller
Matthew Reilly,Thriller
Jim Thompson,Thriller
Clive Cussler,Thriller
Jeff Rovin (created by Tom Clancy & Steve Pieczenik),Thriller
Frederick Forsyth,Thriller
Andre Brink,Thriller
Ruth Rendell,Thriller
Dean Koontz,Thriller
Sidney Sheldon,Thriller
Christopher Brookmyre,Thriller
Ken Follett,Thriller
James Patterson and Maxine Paetro,Thriller
Tom Clancy,Thriller
Mark Winegardner,Thriller
Robert Muchamore,Thriller
Thomas Harris,Thriller
Gavin Lyall,Thriller
Philip Kerr,Thriller
Robert Ludlum (series creator)Eric Van Lustbader,Thriller
Robert Muchamore,Thriller
Sidney Sheldon,Thriller
Hans Holbein the Younger,Thriller
Frederick Forsyth,Thriller
Sidney Sheldon,Thriller
Robert Muchamore,Thriller
Stieg Larsson,Thriller
Tom Clancy,Thriller
Ashwin Sanghi,Thriller
Dan Brown,Thriller
Robert Ferrigno,Thriller
Tom Clancy,Thriller
G. K. Chesterton,Thriller
Steve Berry,Thriller
William Boyd,Thriller
Robert Muchamore,Thriller
James Patterson,Thriller
Daniel Silva,Thriller
Tom Clancy,Thriller
Scott Ciencin and Denise Ciencin,Thriller
Madeleine L'Engle,Thriller
Lionel Davidson,Thriller
Christopher Brookmyre,Thriller
Gavin Lyall,Thriller
Desmond Bagley,Thriller
Christopher Darden and Dick Lochte,Thriller
"Ian Rankin(writing as ""Jack Harvey"")",Thriller
Robert Muchamore,Thriller
Charles Stross,Thriller
Robert Ludlum,Thriller
Alistair MacLean,Thriller
Alistair MacLean,Thriller
Ridley Pearson,Thriller
John Grisham,Thriller
Tom Clancy,Thriller
Hjalmar Söderberg,Thriller
Dean Koontz,Thriller
Gavin Lyall,Thriller
Desmond Bagley,Thriller
Robert Ludlum,Thriller
Robert Ludlum,Thriller
Dan Brown,Thriller
Mario Puzo,Thriller
Charlie Huston,Thriller
Jack Higgins,Thriller
Robert Muchamore,Thriller
Dean Koontz,Thriller
Michael Scott,Thriller
Sidney SheldonTilly Bagshawe,Thriller
Don Winslow,Thriller
Tom Clancy,Thriller
Douglas Preston,Thriller
Seth Grahame-Smith and Jane Austen,Thriller
Steve Hockensmith,Thriller
Jeffery Deaver,Thriller
Joseph Heywood,Thriller
John Buchan,Thriller
Ian Rankin (as Jack Harvey),Thriller
Jeffery Deaver,Thriller
Jeffery Deaver,Thriller
Tom Cain,Thriller
Fred Vargas,Thriller
Dean Koontz,Thriller
Trevor Shane,Thriller
Diane Setterfield,Thriller
Robert Ludlum,Thriller
John le Carré,Thriller
Andrew Klavan,Thriller
John Grisham,Thriller
Stephen Hunter,Thriller
Warren Ellis,Thriller
Gavin Lyall,Thriller
Stephen Hunter,Thriller
Desmond Bagley,Thriller
Daniel Silva,Thriller
Dean Koontz,Thriller
Alistair MacLean,Thriller
Desmond Bagley,Thriller
Frederick Forsyth,Thriller
John Buchan,Thriller
Ken Follett,Thriller
Robert Muchamore,Thriller
Matthew Reilly,Thriller
David Baldacci,Thriller
Michael Scott,Thriller
James Follet,Thriller
Alistair MacLean,Thriller
Harlan Coben,Thriller
Lincoln ChildDouglas Preston,Thriller
Jack Higgins,Thriller
Jeff Rovin (created by Tom Clancy & Steve Pieczenik),Thriller
James Patterson and Maxine Paetro,Thriller
Stieg Larsson,Thriller
S. J. Watson,Thriller
Matthew Reilly,Thriller
Alistair MacLean,Thriller
Robert Ludlum,Thriller
Rodney William Whitaker,Thriller
Paul Theroux,Thriller
Jodi Picoult,Thriller
Desmond Bagley,Thriller
Sidney Sheldon,Thriller
Gavin Lyall,Thriller
Michael Scott,Thriller
Anthony Horowitz,Thriller
Clive Cussler,Thriller
Tom Clancy,Thriller
Anthony Horowitz,Thriller
Daniel Ehrenhaft,Thriller
Anthony Horowitz,Thriller
Ben H. Winters (with Jane Austen attributed),Thriller
William Peter Blatty,Thriller
Harlan Coben,Thriller
Juan Gómez-Jurado,Thriller
Lee Child,Thriller
Robert Ludlum,Thriller
Matthew Reilly,Thriller
Nevil Shute,Thriller
Thomas Gifford,Thriller
Michael Cox,Thriller
Jack Higgins (originally Martin J Fallon),Thriller
Ridley Pearson,Thriller
Fred Vargas,Thriller
Robert Ludlum,Thriller
Marc Cerasini,Thriller
"Lincoln Child,Douglas Preston",Thriller
Robert Ludlum,Thriller
Stieg Larsson,Thriller
Lincoln Child,Thriller
Lionel Davidson,Thriller
Ali Sparkes,Thriller
Anthony Horowitz,Thriller
Lee Child,Thriller
Lee Child,Thriller
Gavin Lyall,Thriller
